n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
5,12.000000,9.000000,5029,4971,0,5437,4563,0,10000
5,14.000000,5.000000,5024,4976,0,5421,4579,0,10000
5,14.000000,7.000000,5030,4970,0,5456,4544,0,10000
5,14.000000,1.000000,5016,4984,0,5409,4591,0,10000
5,14.000000,3.000000,5027,4973,0,5438,4562,0,10000
6,6.000000,1.000000,5004,4996,0,5116,4884,0,10000
6,6.000000,5.000000,5007,4993,0,5115,4885,0,10000
6,6.000000,3.000000,5003,4997,0,5084,4916,0,10000
6,6.000000,7.000000,5001,4999,0,5090,4910,0,10000
5,14.000000,9.000000,5025,4975,0,5467,4533,0,10000
6,6.000000,9.000000,5009,4991,0,5129,4871,0,10000
6,8.000000,1.000000,5008,4992,0,5103,4897,0,10000
6,8.000000,7.000000,5004,4996,0,5092,4908,0,10000
6,8.000000,5.000000,5008,4992,0,5107,4893,0,10000
6,10.000000,1.000000,5009,4991,0,5099,4901,0,10000
6,8.000000,3.000000,5007,4993,0,5104,4896,0,10000
6,10.000000,5.000000,5007,4993,0,5110,4890,0,10000
6,8.000000,9.000000,5006,4994,0,5099,4901,0,10000
6,10.000000,3.000000,5007,4993,0,5126,4874,0,10000
6,10.000000,7.000000,5005,4995,0,5106,4894,0,10000
6,10.000000,9.000000,5009,4991,0,5123,4877,0,10000
6,12.000000,7.000000,5019,4981,0,5216,4784,0,10000
6,12.000000,5.000000,5023,4977,0,5225,4775,0,10000
6,12.000000,1.000000,5019,4981,0,5162,4838,0,10000
6,12.000000,3.000000,5022,4978,0,5170,4830,0,10000
6,12.000000,9.000000,5025,4975,0,5263,4737,0,10000
6,14.000000,5.000000,5178,4822,0,5542,4458,0,10000
6,14.000000,1.000000,6480,3520,0,7769,2231,0,10000
6,14.000000,3.000000,5763,4237,0,6553,3447,0,10000
6,14.000000,7.000000,5873,4127,0,6661,3339,0,10000
6,14.000000,9.000000,6689,3311,0,8181,1819,0,10000
7,6.000000,1.000000,7630,2370,0,8511,1489,0,10000
7,6.000000,3.000000,6341,3659,0,7649,2351,0,10000
7,6.000000,5.000000,9464,536,0,9676,324,0,10000
7,6.000000,7.000000,10000,0,0,10000,0,0,10000
7,8.000000,1.000000,10000,0,0,10000,0,0,10000
7,8.000000,9.000000,10000,0,0,10000,0,0,10000
7,8.000000,7.000000,10000,0,0,10000,0,0,10000
7,6.000000,9.000000,10000,0,0,10000,0,0,10000
7,8.000000,3.000000,10000,0,0,10000,0,0,10000
7,8.000000,5.000000,10000,0,0,10000,0,0,10000
7,10.000000,1.000000,10000,0,0,10000,0,0,10000
7,10.000000,3.000000,10000,0,0,10000,0,0,10000
7,10.000000,5.000000,10000,0,0,10000,0,0,10000
7,10.000000,7.000000,10000,0,0,10000,0,0,10000
7,12.000000,3.000000,10000,0,0,10000,0,0,10000
7,12.000000,5.000000,10000,0,0,10000,0,0,10000
7,12.000000,9.000000,10000,0,0,10000,0,0,10000
7,12.000000,1.000000,10000,0,0,10000,0,0,10000
7,10.000000,9.000000,10000,0,0,10000,0,0,10000
7,12.000000,7.000000,10000,0,0,10000,0,0,10000
7,14.000000,9.000000,10000,0,0,10000,0,0,10000
8,6.000000,1.000000,10000,0,0,10000,0,0,10000
7,14.000000,1.000000,10000,0,0,10000,0,0,10000
7,14.000000,5.000000,10000,0,0,10000,0,0,10000
7,14.000000,3.000000,10000,0,0,10000,0,0,10000
7,14.000000,7.000000,10000,0,0,10000,0,0,10000
8,6.000000,3.000000,10000,0,0,10000,0,0,10000
8,6.000000,9.000000,10000,0,0,10000,0,0,10000
8,6.000000,5.000000,10000,0,0,10000,0,0,10000
8,6.000000,7.000000,10000,0,0,10000,0,0,10000
8,10.000000,5.000000,10000,0,0,10000,0,0,10000
8,10.000000,1.000000,10000,0,0,10000,0,0,10000
8,8.000000,5.000000,10000,0,0,10000,0,0,10000
8,8.000000,9.000000,10000,0,0,10000,0,0,10000
8,10.000000,3.000000,10000,0,0,10000,0,0,10000
8,10.000000,9.000000,10000,0,0,10000,0,0,10000
8,8.000000,1.000000,10000,0,0,10000,0,0,10000
8,8.000000,7.000000,10000,0,0,10000,0,0,10000
8,10.000000,7.000000,10000,0,0,10000,0,0,10000
8,8.000000,3.000000,10000,0,0,10000,0,0,10000
8,12.000000,5.000000,10000,0,0,10000,0,0,10000
8,12.000000,1.000000,10000,0,0,10000,0,0,10000
8,12.000000,7.000000,10000,0,0,10000,0,0,10000
8,14.000000,3.000000,10000,0,0,10000,0,0,10000
8,14.000000,7.000000,10000,0,0,10000,0,0,10000
8,14.000000,5.000000,10000,0,0,10000,0,0,10000
8,14.000000,1.000000,10000,0,0,10000,0,0,10000
8,14.000000,9.000000,10000,0,0,10000,0,0,10000
8,12.000000,3.000000,10000,0,0,10000,0,0,10000
8,12.000000,9.000000,10000,0,0,10000,0,0,10000
9,6.000000,1.000000,10000,0,0,10000,0,0,10000
9,6.000000,3.000000,10000,0,0,10000,0,0,10000
9,6.000000,5.000000,10000,0,0,10000,0,0,10000
9,6.000000,7.000000,10000,0,0,10000,0,0,10000
9,6.000000,9.000000,10000,0,0,10000,0,0,10000
9,8.000000,3.000000,10000,0,0,10000,0,0,10000
9,8.000000,1.000000,10000,0,0,10000,0,0,10000
9,8.000000,7.000000,10000,0,0,10000,0,0,10000
9,8.000000,9.000000,10000,0,0,10000,0,0,10000
9,8.000000,5.000000,10000,0,0,10000,0,0,10000
9,10.000000,1.000000,10000,0,0,10000,0,0,10000
9,10.000000,3.000000,10000,0,0,10000,0,0,10000
9,10.000000,5.000000,10000,0,0,10000,0,0,10000
9,10.000000,9.000000,10000,0,0,10000,0,0,10000
9,10.000000,7.000000,10000,0,0,10000,0,0,10000
9,12.000000,5.000000,10000,0,0,10000,0,0,10000
9,12.000000,9.000000,10000,0,0,10000,0,0,10000
9,12.000000,7.000000,10000,0,0,10000,0,0,10000
9,12.000000,3.000000,10000,0,0,10000,0,0,10000
9,12.000000,1.000000,10000,0,0,10000,0,0,10000
9,14.000000,1.000000,10000,0,0,10000,0,0,10000
9,14.000000,7.000000,10000,0,0,10000,0,0,10000
9,14.000000,3.000000,10000,0,0,10000,0,0,10000
9,14.000000,5.000000,10000,0,0,10000,0,0,10000
9,14.000000,9.000000,10000,0,0,10000,0,0,10000
10,6.000000,9.000000,10000,0,0,10000,0,0,10000
10,6.000000,1.000000,10000,0,0,10000,0,0,10000
10,6.000000,7.000000,10000,0,0,10000,0,0,10000
10,6.000000,5.000000,10000,0,0,10000,0,0,10000
10,6.000000,3.000000,10000,0,0,10000,0,0,10000
10,10.000000,7.000000,10000,0,0,10000,0,0,10000
10,8.000000,1.000000,10000,0,0,10000,0,0,10000
10,8.000000,3.000000,10000,0,0,10000,0,0,10000
10,10.000000,5.000000,10000,0,0,10000,0,0,10000
10,8.000000,9.000000,10000,0,0,10000,0,0,10000
10,10.000000,1.000000,10000,0,0,10000,0,0,10000
10,8.000000,5.000000,10000,0,0,10000,0,0,10000
10,10.000000,9.000000,10000,0,0,10000,0,0,10000
10,8.000000,7.000000,10000,0,0,10000,0,0,10000
10,10.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,7.000000,10000,0,0,10000,0,0,10000
10,12.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,5.000000,10000,0,0,10000,0,0,10000
10,12.000000,9.000000,10000,0,0,10000,0,0,10000
10,14.000000,9.000000,10000,0,0,10000,0,0,10000
10,14.000000,5.000000,10000,0,0,10000,0,0,10000
10,14.000000,3.000000,10000,0,0,10000,0,0,10000
10,12.000000,1.000000,10000,0,0,10000,0,0,10000
10,14.000000,1.000000,10000,0,0,10000,0,0,10000
10,14.000000,7.000000,10000,0,0,10000,0,0,10000
11,6.000000,1.000000,10000,0,0,10000,0,0,10000
11,6.000000,7.000000,10000,0,0,10000,0,0,10000
11,8.000000,1.000000,10000,0,0,10000,0,0,10000
11,8.000000,3.000000,10000,0,0,10000,0,0,10000
11,8.000000,9.000000,10000,0,0,10000,0,0,10000
11,8.000000,7.000000,10000,0,0,10000,0,0,10000
11,8.000000,5.000000,10000,0,0,10000,0,0,10000
11,6.000000,5.000000,10000,0,0,10000,0,0,10000
11,6.000000,3.000000,10000,0,0,10000,0,0,10000
11,6.000000,9.000000,10000,0,0,10000,0,0,10000
11,10.000000,1.000000,10000,0,0,10000,0,0,10000
11,10.000000,9.000000,10000,0,0,10000,0,0,10000
11,10.000000,7.000000,10000,0,0,10000,0,0,10000
11,10.000000,5.000000,10000,0,0,10000,0,0,10000
11,12.000000,1.000000,10000,0,0,10000,0,0,10000
11,10.000000,3.000000,10000,0,0,10000,0,0,10000
11,12.000000,3.000000,10000,0,0,10000,0,0,10000
11,12.000000,7.000000,10000,0,0,10000,0,0,10000
11,12.000000,9.000000,10000,0,0,10000,0,0,10000
11,12.000000,5.000000,10000,0,0,10000,0,0,10000
11,14.000000,7.000000,10000,0,0,10000,0,0,10000
11,14.000000,1.000000,10000,0,0,10000,0,0,10000
11,14.000000,3.000000,10000,0,0,10000,0,0,10000
12,6.000000,9.000000,10000,0,0,10000,0,0,10000
12,6.000000,7.000000,10000,0,0,10000,0,0,10000
11,14.000000,9.000000,10000,0,0,10000,0,0,10000
11,14.000000,5.000000,10000,0,0,10000,0,0,10000
12,6.000000,1.000000,10000,0,0,10000,0,0,10000
12,6.000000,5.000000,10000,0,0,10000,0,0,10000
12,6.000000,3.000000,10000,0,0,10000,0,0,10000
12,8.000000,3.000000,10000,0,0,10000,0,0,10000
12,10.000000,1.000000,10000,0,0,10000,0,0,10000
12,10.000000,3.000000,10000,0,0,10000,0,0,10000
12,8.000000,7.000000,10000,0,0,10000,0,0,10000
12,8.000000,5.000000,10000,0,0,10000,0,0,10000
12,8.000000,9.000000,10000,0,0,10000,0,0,10000
12,10.000000,9.000000,10000,0,0,10000,0,0,10000
12,8.000000,1.000000,10000,0,0,10000,0,0,10000
12,10.000000,7.000000,10000,0,0,10000,0,0,10000
12,10.000000,5.000000,10000,0,0,10000,0,0,10000
12,12.000000,5.000000,10000,0,0,10000,0,0,10000
12,12.000000,7.000000,10000,0,0,10000,0,0,10000
12,12.000000,3.000000,10000,0,0,10000,0,0,10000
12,14.000000,9.000000,10000,0,0,10000,0,0,10000
12,12.000000,9.000000,10000,0,0,10000,0,0,10000
12,12.000000,1.000000,10000,0,0,10000,0,0,10000
12,14.000000,5.000000,10000,0,0,10000,0,0,10000
12,14.000000,7.000000,10000,0,0,10000,0,0,10000
12,14.000000,3.000000,10000,0,0,10000,0,0,10000
12,14.000000,1.000000,10000,0,0,10000,0,0,10000
13,8.000000,5.000000,10000,0,0,10000,0,0,10000
13,6.000000,3.000000,10000,0,0,10000,0,0,10000
13,6.000000,7.000000,10000,0,0,10000,0,0,10000
13,8.000000,7.000000,10000,0,0,10000,0,0,10000
13,6.000000,1.000000,10000,0,0,10000,0,0,10000
13,8.000000,9.000000,10000,0,0,10000,0,0,10000
13,8.000000,1.000000,10000,0,0,10000,0,0,10000
13,6.000000,9.000000,10000,0,0,10000,0,0,10000
13,8.000000,3.000000,10000,0,0,10000,0,0,10000
13,6.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,1.000000,10000,0,0,10000,0,0,10000
13,12.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,9.000000,10000,0,0,10000,0,0,10000
13,12.000000,9.000000,10000,0,0,10000,0,0,10000
13,12.000000,7.000000,10000,0,0,10000,0,0,10000
13,10.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,7.000000,10000,0,0,10000,0,0,10000
13,10.000000,3.000000,10000,0,0,10000,0,0,10000
13,12.000000,3.000000,10000,0,0,10000,0,0,10000
13,12.000000,1.000000,10000,0,0,10000,0,0,10000
13,14.000000,1.000000,10000,0,0,10000,0,0,10000
13,14.000000,5.000000,10000,0,0,10000,0,0,10000
13,14.000000,3.000000,10000,0,0,10000,0,0,10000
13,14.000000,9.000000,10000,0,0,10000,0,0,10000
14,6.000000,3.000000,10000,0,0,10000,0,0,10000
13,14.000000,7.000000,10000,0,0,10000,0,0,10000
14,6.000000,5.000000,10000,0,0,10000,0,0,10000
14,6.000000,7.000000,10000,0,0,10000,0,0,10000
14,6.000000,1.000000,10000,0,0,10000,0,0,10000
14,6.000000,9.000000,10000,0,0,10000,0,0,10000
14,8.000000,1.000000,10000,0,0,10000,0,0,10000
14,8.000000,3.000000,10000,0,0,10000,0,0,10000
14,10.000000,3.000000,10000,0,0,10000,0,0,10000
14,8.000000,9.000000,10000,0,0,10000,0,0,10000
14,8.000000,5.000000,10000,0,0,10000,0,0,10000
14,10.000000,1.000000,10000,0,0,10000,0,0,10000
14,8.000000,7.000000,10000,0,0,10000,0,0,10000
14,10.000000,9.000000,10000,0,0,10000,0,0,10000
14,10.000000,5.000000,10000,0,0,10000,0,0,10000
14,10.000000,7.000000,10000,0,0,10000,0,0,10000
14,12.000000,7.000000,10000,0,0,10000,0,0,10000
14,12.000000,1.000000,10000,0,0,10000,0,0,10000
14,12.000000,5.000000,10000,0,0,10000,0,0,10000
14,12.000000,3.000000,10000,0,0,10000,0,0,10000
14,14.000000,1.000000,10000,0,0,10000,0,0,10000
14,12.000000,9.000000,10000,0,0,10000,0,0,10000
14,14.000000,3.000000,10000,0,0,10000,0,0,10000
14,14.000000,7.000000,10000,0,0,10000,0,0,10000
14,14.000000,5.000000,10000,0,0,10000,0,0,10000
14,14.000000,9.000000,10000,0,0,10000,0,0,10000
15,6.000000,3.000000,10000,0,0,10000,0,0,10000
15,6.000000,1.000000,10000,0,0,10000,0,0,10000
15,6.000000,9.000000,10000,0,0,10000,0,0,10000
15,8.000000,3.000000,10000,0,0,10000,0,0,10000
15,8.000000,5.000000,10000,0,0,10000,0,0,10000
15,6.000000,5.000000,10000,0,0,10000,0,0,10000
15,8.000000,1.000000,10000,0,0,10000,0,0,10000
15,8.000000,7.000000,10000,0,0,10000,0,0,10000
15,6.000000,7.000000,10000,0,0,10000,0,0,10000
15,8.000000,9.000000,10000,0,0,10000,0,0,10000
15,10.000000,1.000000,10000,0,0,10000,0,0,10000
15,10.000000,3.000000,10000,0,0,10000,0,0,10000
15,10.000000,5.000000,10000,0,0,10000,0,0,10000
15,10.000000,7.000000,10000,0,0,10000,0,0,10000
15,12.000000,3.000000,10000,0,0,10000,0,0,10000
15,12.000000,5.000000,10000,0,0,10000,0,0,10000
15,12.000000,9.000000,10000,0,0,10000,0,0,10000
15,12.000000,1.000000,10000,0,0,10000,0,0,10000
15,10.000000,9.000000,10000,0,0,10000,0,0,10000
15,12.000000,7.000000,10000,0,0,10000,0,0,10000
16,6.000000,3.000000,10000,0,0,10000,0,0,10000
16,6.000000,5.000000,10000,0,0,10000,0,0,10000
15,14.000000,7.000000,10000,0,0,10000,0,0,10000
15,14.000000,1.000000,10000,0,0,10000,0,0,10000
15,14.000000,3.000000,10000,0,0,10000,0,0,10000
15,14.000000,9.000000,10000,0,0,10000,0,0,10000
16,6.000000,7.000000,10000,0,0,10000,0,0,10000
16,6.000000,9.000000,10000,0,0,10000,0,0,10000
16,6.000000,1.000000,10000,0,0,10000,0,0,10000
15,14.000000,5.000000,10000,0,0,10000,0,0,10000
16,8.000000,9.000000,10000,0,0,10000,0,0,10000
16,8.000000,7.000000,10000,0,0,10000,0,0,10000
16,8.000000,1.000000,10000,0,0,10000,0,0,10000
16,8.000000,3.000000,10000,0,0,10000,0,0,10000
16,10.000000,9.000000,10000,0,0,10000,0,0,10000
16,10.000000,5.000000,10000,0,0,10000,0,0,10000
16,10.000000,7.000000,10000,0,0,10000,0,0,10000
16,8.000000,5.000000,10000,0,0,10000,0,0,10000
16,10.000000,1.000000,10000,0,0,10000,0,0,10000
16,10.000000,3.000000,10000,0,0,10000,0,0,10000
16,14.000000,3.000000,10000,0,0,10000,0,0,10000
16,14.000000,9.000000,10000,0,0,10000,0,0,10000
16,14.000000,7.000000,10000,0,0,10000,0,0,10000
16,12.000000,9.000000,10000,0,0,10000,0,0,10000
16,14.000000,5.000000,10000,0,0,10000,0,0,10000
16,12.000000,1.000000,10000,0,0,10000,0,0,10000
16,12.000000,3.000000,10000,0,0,10000,0,0,10000
16,12.000000,7.000000,10000,0,0,10000,0,0,10000
16,14.000000,1.000000,10000,0,0,10000,0,0,10000
16,12.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,7.000000,10000,0,0,10000,0,0,10000
17,6.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,1.000000,10000,0,0,10000,0,0,10000
17,6.000000,3.000000,10000,0,0,10000,0,0,10000
17,6.000000,1.000000,10000,0,0,10000,0,0,10000
17,6.000000,9.000000,10000,0,0,10000,0,0,10000
17,6.000000,7.000000,10000,0,0,10000,0,0,10000
17,8.000000,3.000000,10000,0,0,10000,0,0,10000
17,8.000000,5.000000,10000,0,0,10000,0,0,10000
17,8.000000,9.000000,10000,0,0,10000,0,0,10000
17,10.000000,1.000000,10000,0,0,10000,0,0,10000
17,10.000000,7.000000,10000,0,0,10000,0,0,10000
17,10.000000,5.000000,10000,0,0,10000,0,0,10000
17,10.000000,3.000000,10000,0,0,10000,0,0,10000
17,12.000000,5.000000,10000,0,0,10000,0,0,10000
17,10.000000,9.000000,10000,0,0,10000,0,0,10000
17,12.000000,9.000000,10000,0,0,10000,0,0,10000
17,12.000000,7.000000,10000,0,0,10000,0,0,10000
17,12.000000,3.000000,10000,0,0,10000,0,0,10000
17,12.000000,1.000000,10000,0,0,10000,0,0,10000
17,14.000000,7.000000,10000,0,0,10000,0,0,10000
17,14.000000,9.000000,10000,0,0,10000,0,0,10000
17,14.000000,1.000000,10000,0,0,10000,0,0,10000
17,14.000000,5.000000,10000,0,0,10000,0,0,10000
17,14.000000,3.000000,10000,0,0,10000,0,0,10000
18,6.000000,1.000000,10000,0,0,10000,0,0,10000
18,6.000000,5.000000,10000,0,0,10000,0,0,10000
18,6.000000,3.000000,10000,0,0,10000,0,0,10000
18,6.000000,9.000000,10000,0,0,10000,0,0,10000
18,6.000000,7.000000,10000,0,0,10000,0,0,10000
18,8.000000,1.000000,10000,0,0,10000,0,0,10000
18,8.000000,5.000000,10000,0,0,10000,0,0,10000
18,10.000000,7.000000,10000,0,0,10000,0,0,10000
18,10.000000,5.000000,10000,0,0,10000,0,0,10000
18,8.000000,9.000000,10000,0,0,10000,0,0,10000
18,10.000000,3.000000,10000,0,0,10000,0,0,10000
18,8.000000,7.000000,10000,0,0,10000,0,0,10000
18,8.000000,3.000000,10000,0,0,10000,0,0,10000
18,10.000000,1.000000,10000,0,0,10000,0,0,10000
18,10.000000,9.000000,10000,0,0,10000,0,0,10000
18,12.000000,7.000000,10000,0,0,10000,0,0,10000
18,12.000000,5.000000,10000,0,0,10000,0,0,10000
18,14.000000,1.000000,10000,0,0,10000,0,0,10000
18,12.000000,1.000000,10000,0,0,10000,0,0,10000
18,12.000000,3.000000,10000,0,0,10000,0,0,10000
18,14.000000,3.000000,10000,0,0,10000,0,0,10000
18,14.000000,5.000000,10000,0,0,10000,0,0,10000
18,12.000000,9.000000,10000,0,0,10000,0,0,10000
18,14.000000,9.000000,10000,0,0,10000,0,0,10000
18,14.000000,7.000000,10000,0,0,10000,0,0,10000
19,8.000000,3.000000,10000,0,0,10000,0,0,10000
19,6.000000,7.000000,10000,0,0,10000,0,0,10000
19,8.000000,1.000000,10000,0,0,10000,0,0,10000
19,6.000000,1.000000,10000,0,0,10000,0,0,10000
19,8.000000,9.000000,10000,0,0,10000,0,0,10000
19,8.000000,5.000000,10000,0,0,10000,0,0,10000
19,6.000000,9.000000,10000,0,0,10000,0,0,10000
19,6.000000,5.000000,10000,0,0,10000,0,0,10000
19,8.000000,7.000000,10000,0,0,10000,0,0,10000
19,6.000000,3.000000,10000,0,0,10000,0,0,10000
19,10.000000,9.000000,10000,0,0,10000,0,0,10000
19,10.000000,3.000000,10000,0,0,10000,0,0,10000
19,12.000000,1.000000,10000,0,0,10000,0,0,10000
19,10.000000,5.000000,10000,0,0,10000,0,0,10000
19,12.000000,5.000000,10000,0,0,10000,0,0,10000
19,10.000000,7.000000,10000,0,0,10000,0,0,10000
19,10.000000,1.000000,10000,0,0,10000,0,0,10000
19,12.000000,3.000000,10000,0,0,10000,0,0,10000
19,12.000000,7.000000,10000,0,0,10000,0,0,10000
19,12.000000,9.000000,10000,0,0,10000,0,0,10000
20,6.000000,3.000000,10000,0,0,10000,0,0,10000
20,6.000000,1.000000,10000,0,0,10000,0,0,10000
19,14.000000,3.000000,10000,0,0,10000,0,0,10000
19,14.000000,7.000000,10000,0,0,10000,0,0,10000
19,14.000000,1.000000,10000,0,0,10000,0,0,10000
19,14.000000,9.000000,10000,0,0,10000,0,0,10000
19,14.000000,5.000000,10000,0,0,10000,0,0,10000
20,6.000000,5.000000,10000,0,0,10000,0,0,10000
20,6.000000,9.000000,10000,0,0,10000,0,0,10000
20,6.000000,7.000000,10000,0,0,10000,0,0,10000
20,8.000000,1.000000,10000,0,0,10000,0,0,10000
20,8.000000,7.000000,10000,0,0,10000,0,0,10000
20,8.000000,3.000000,10000,0,0,10000,0,0,10000
20,10.000000,5.000000,10000,0,0,10000,0,0,10000
20,10.000000,1.000000,10000,0,0,10000,0,0,10000
20,8.000000,9.000000,10000,0,0,10000,0,0,10000
20,10.000000,3.000000,10000,0,0,10000,0,0,10000
20,10.000000,7.000000,10000,0,0,10000,0,0,10000
20,8.000000,5.000000,10000,0,0,10000,0,0,10000
